,tick,ano,divida_liq_EBITDA,ROIC,VPA,ROA,P_L,PSR,P_VP,ECP,P_EBIT,DY,ROE,P_ativos,margem_EBITDA,LPA,margem_liq,EV_EBITDA,beta,P_EBITDA,EV_EBIT,result_caso1,result_caso2,result_caso3,result_caso4,result_caso5
348,CPFE3,2006.0,1.76,0.19,10.15,0.1,10.0,1.61,2.96,0.18,5.85,0.0773,0.3,1.02,0.33,3.0,0.16,13.47,0.62,4.9,16.06,True,True,True,True,0.24
349,CPFE3,2007.0,1.84,0.2,10.51,0.11,9.79,1.72,3.2,0.18,5.4,0.0968,0.33,1.04,0.36,3.44,0.18,11.95,0.76,4.75,13.57,False,False,False,False,-0.04
350,CPFE3,2008.0,2.47,0.15,10.64,0.08,11.25,1.49,2.83,0.17,6.19,0.0912,0.25,0.89,0.3,2.68,0.13,14.32,0.63,4.99,17.78,True,True,True,True,0.26
351,CPFE3,2009.0,2.76,0.14,10.77,0.08,13.01,1.6,3.28,0.17,7.7,0.0694,0.25,1.0,0.26,2.72,0.12,15.13,0.44,6.1,19.08,True,True,True,True,0.31
352,CPFE3,2010.0,2.27,0.16,14.03,0.08,12.69,1.65,2.94,0.24,7.23,0.0721,0.23,0.99,0.29,3.25,0.13,12.29,0.36,5.78,15.39,True,True,True,True,0.32
353,CPFE3,2011.0,2.82,0.13,8.89,0.06,15.8,1.96,2.93,0.12,8.2,0.0688,0.19,0.91,0.3,1.65,0.12,11.74,0.43,6.5,14.82,False,False,False,False,-0.12
354,CPFE3,2012.0,3.76,0.1,8.74,0.04,16.36,1.37,2.45,0.12,7.43,0.0682,0.15,0.66,0.26,1.31,0.08,12.57,0.34,5.28,17.68,False,False,False,False,-0.08
355,CPFE3,2013.0,3.61,0.1,9.14,0.03,19.36,1.26,2.09,0.11,7.38,0.0445,0.11,0.59,0.24,0.99,0.06,13.3,0.66,5.18,18.94,True,False,False,False,0.05
356,CPFE3,2014.0,3.93,0.09,9.75,0.03,20.04,1.03,1.9,0.18,6.84,0.0557,0.09,0.51,0.22,0.92,0.05,13.07,1.03,4.73,18.9,False,False,False,False,-0.15
357,CPFE3,2015.0,4.28,0.08,10.2,0.02,17.21,0.75,1.49,0.17,6.11,0.0,0.09,0.37,0.19,0.88,0.04,13.44,0.96,4.02,20.41,True,True,True,True,0.73
358,CPFE3,2016.0,3.85,0.09,10.19,0.02,29.13,1.34,2.47,0.16,9.05,0.0083,0.08,0.61,0.22,0.87,0.05,12.18,0.62,6.22,17.72,False,False,False,False,-0.23
359,CPFE3,2017.0,3.48,0.1,10.99,0.03,15.83,0.74,1.76,0.26,5.91,0.0114,0.11,0.48,0.18,1.22,0.05,10.54,0.17,4.05,15.38,True,True,True,True,0.5
360,CPFE3,2018.0,3.28,0.11,12.31,0.05,13.55,1.04,2.34,0.17,7.26,0.0097,0.17,0.7,0.2,2.13,0.08,9.38,0.31,5.21,13.07,True,True,True,True,0.26
361,CPFE3,2019.0,2.52,0.12,11.53,0.06,14.9,1.37,3.08,0.18,8.69,0.0,0.21,0.93,0.21,2.39,0.09,7.9,0.37,6.41,10.71,False,False,False,False,-0.14
362,CPLE6,2002.0,0.0,0.01,17.27,-0.04,-8.55,1.03,0.58,0.09,47.18,0.035,-0.07,0.32,0.0,-1.17,-0.12,0.0,1.14,0.0,321.22,True,True,True,True,0.36
363,CPLE6,2003.0,0.0,0.01,17.75,0.02,21.89,1.24,0.77,0.14,35.11,0.0,0.03,0.41,0.0,0.62,0.06,0.0,1.31,0.0,173.35,False,False,False,False,-0.13
364,CPLE6,2004.0,0.0,0.07,18.93,0.04,8.0,0.81,0.61,0.37,5.32,0.0138,0.08,0.32,0.0,1.45,0.1,0.0,1.22,0.0,30.57,True,True,True,True,0.58
365,CPLE6,2005.0,1.81,0.08,20.57,0.05,9.47,1.01,0.87,0.1,6.18,0.0206,0.09,0.45,0.23,1.9,0.11,16.35,1.09,4.36,23.19,True,True,True,True,0.44
366,CPLE6,2006.0,1.33,0.14,24.29,0.11,5.44,1.27,1.03,0.36,4.35,0.0188,0.19,0.57,0.36,4.59,0.23,9.74,0.95,3.5,12.08,True,True,False,False,0.12
367,CPLE6,2007.0,1.05,0.13,27.29,0.09,6.44,1.35,0.98,0.13,4.65,0.0403,0.15,0.59,0.37,4.16,0.21,9.22,0.8,3.65,11.74,False,False,False,False,-0.07
368,CPLE6,2008.0,1.0,0.11,30.3,0.08,5.99,1.2,0.79,0.16,4.5,0.0429,0.13,0.5,0.34,4.01,0.2,9.8,0.77,3.52,12.51,True,True,True,True,0.59
369,CPLE6,2009.0,0.95,0.1,33.19,0.08,9.65,1.8,1.12,0.08,7.44,0.0445,0.12,0.73,0.31,3.84,0.19,10.32,0.49,5.78,13.28,True,True,False,False,0.13
370,CPLE6,2010.0,0.0,0.07,41.27,0.06,11.23,1.65,1.01,0.35,10.99,0.0154,0.09,0.64,0.23,3.69,0.15,10.16,0.4,7.21,15.5,False,False,False,False,-0.02
371,CPLE6,2011.0,0.28,0.08,44.1,0.06,9.05,1.37,0.88,0.05,7.83,0.0416,0.1,0.56,0.25,4.3,0.15,8.87,0.53,5.57,12.48,False,False,False,False,-0.16
372,CPLE6,2012.0,0.71,0.06,45.67,0.03,11.9,1.02,0.69,0.08,8.66,0.0237,0.06,0.41,0.18,2.66,0.09,11.3,0.44,5.6,17.49,True,False,False,False,0.02
373,CPLE6,2013.0,1.31,0.06,47.24,0.05,7.58,0.91,0.65,0.22,6.81,0.0747,0.09,0.36,0.2,4.03,0.12,10.29,0.8,4.57,15.33,True,True,True,True,0.28
374,CPLE6,2014.0,2.07,0.07,50.0,0.05,7.36,0.71,0.72,0.21,5.75,0.066,0.1,0.38,0.17,4.88,0.1,9.09,0.92,4.2,12.43,False,False,False,False,-0.3
375,CPLE6,2015.0,2.27,0.08,53.29,0.04,5.25,0.45,0.46,0.16,3.48,0.0383,0.09,0.23,0.18,4.63,0.09,8.62,0.93,2.57,11.67,True,True,True,False,0.18
376,CPLE6,2016.0,5.65,0.07,55.38,0.03,7.89,0.57,0.49,0.29,3.66,0.0457,0.06,0.25,0.1,3.47,0.07,17.94,1.33,5.61,11.73,False,False,False,False,-0.02
377,CPLE6,2017.0,3.03,0.07,56.75,0.03,6.1,0.49,0.44,0.25,3.18,0.1186,0.07,0.21,0.21,4.09,0.08,8.74,1.27,2.37,11.71,True,True,True,True,0.32
378,CPLE6,2018.0,3.02,0.07,59.7,0.04,5.79,0.56,0.51,0.29,3.49,0.038,0.09,0.23,0.21,5.28,0.1,8.24,0.99,2.66,10.82,True,True,True,True,1.37
379,CPLE6,2019.0,2.01,0.09,64.31,0.05,9.16,1.16,1.07,0.12,5.92,0.0055,0.12,0.49,0.26,7.54,0.13,5.85,0.77,4.41,7.85,False,False,False,False,-0.14
380,CRDE3,2008.0,0.0,0.04,8.56,0.07,3.9,0.67,0.39,0.92,6.34,0.1333,0.1,0.27,0.11,0.85,-0.15,4.34,0.42,6.33,4.35,True,True,True,True,0.85
381,CRDE3,2009.0,2.29,0.03,9.13,0.02,16.85,0.96,0.68,0.24,13.64,0.0,0.04,0.38,0.07,0.37,0.17,11.46,0.69,14.38,10.87,True,True,True,True,0.31
382,CRDE3,2010.0,8.98,0.09,9.34,0.06,7.64,0.79,0.8,0.68,5.37,0.0631,0.1,0.42,0.15,0.98,0.06,3.25,0.86,5.28,3.3,False,False,False,False,-0.15
383,CRDE3,2011.0,2.49,0.04,9.1,0.02,18.93,1.46,0.64,0.5,10.92,0.0853,0.03,0.36,0.15,0.31,0.1,8.53,0.52,9.41,9.9,False,False,False,False,-0.19
384,CRDE3,2012.0,6.9,-0.02,8.53,-0.03,-10.33,1.45,0.55,0.56,-20.65,0.0085,-0.05,0.34,-0.06,-0.45,0.08,-23.69,0.07,-24.55,-19.94,False,False,False,False,-0.19
385,CRDE3,2013.0,0.0,-0.01,8.07,-0.01,-23.01,1.69,0.47,0.81,-46.02,0.0,-0.02,0.32,-0.02,-0.17,-0.14,-60.3,0.28,-94.64,-29.32,False,False,False,False,-0.3
386,CRDE3,2014.0,0.0,-0.06,7.08,-0.09,-3.57,6.76,0.37,0.96,-5.35,0.0,-0.1,0.3,-1.16,-0.74,-0.07,-2.51,0.05,-5.82,-2.3,False,False,False,False,-0.36
387,CRDE3,2015.0,0.0,-0.12,5.24,-0.12,-1.92,2.26,0.26,0.86,-2.11,0.0,-0.13,0.23,-0.97,-0.7,-1.89,-1.11,0.55,-2.32,-1.01,True,False,False,False,0.06
388,CRDE3,2016.0,0.64,-0.16,4.19,-0.22,-1.36,3.99,0.33,1.0,-1.99,0.0,-0.25,0.29,-1.95,-1.03,-1.17,-0.97,0.23,-2.04,-0.95,True,False,False,False,0.04
389,CRDE3,2017.0,0.51,-0.04,4.07,-0.02,-14.34,6.52,0.36,0.0,-8.96,0.0,-0.03,0.32,-0.67,-0.1,-2.94,-3.43,0.35,-9.72,-3.16,False,False,False,False,-0.31
390,CRDE3,2018.0,3.25,-0.12,3.45,-0.11,-46.02,193.29,5.79,0.0,-53.69,0.0,-0.13,5.17,-3.66,-0.43,-0.45,-1.16,0.37,-52.85,-1.18,True,True,True,True,0.77
391,CRDE3,2019.0,1.53,-0.05,64.82,-0.05,-9.53,2.6,0.55,0.0,-14.29,0.0,-0.06,0.5,-0.19,-3.72,-4.2,1.9,-0.22,-13.92,1.95,True,False,False,False,0.0
392,CRFB3,2017.0,0.0,0.16,6.63,0.05,17.64,0.6,2.3,0.59,9.73,0.0,0.13,0.89,0.08,0.86,0.03,8.72,0.7,7.98,10.63,True,True,True,True,0.22
393,CRFB3,2018.0,0.0,0.15,7.08,0.05,19.26,0.66,2.55,0.01,11.51,0.0193,0.13,0.98,0.07,0.94,0.03,8.3,0.56,9.22,10.36,True,True,True,True,0.32
394,CRFB3,2019.0,0.0,0.1,7.41,0.03,34.9,0.77,3.15,0.04,16.66,0.0021,0.09,1.03,0.06,0.67,0.02,8.88,0.79,12.03,12.3,False,False,False,False,-0.25
395,CSAN3,2006.0,2.84,0.09,8.32,0.03,41.59,2.3,5.37,0.06,14.89,0.0,0.13,1.36,0.24,1.07,-0.04,32.58,1.17,9.44,51.41,False,False,False,False,-0.53
396,CSAN3,2007.0,3.35,-0.06,12.29,0.02,46.09,2.2,1.69,0.03,-14.07,0.0192,0.04,0.78,0.1,0.45,0.06,108.92,1.12,21.68,-70.67,False,False,False,False,-0.44
397,CSAN3,2008.0,8.9,0.0,11.39,-0.04,-8.23,0.77,0.99,0.03,-183.89,0.0,-0.12,0.33,0.13,-1.37,0.05,50.86,0.88,6.13,-1527.06,True,True,True,True,1.34
398,CSAN3,2009.0,7.31,0.05,12.22,0.05,15.52,0.95,2.1,0.34,17.87,0.0,0.13,0.78,0.1,1.65,-0.09,27.88,0.96,9.09,54.82,True,True,False,False,0.12
399,CSAN3,2010.0,5.03,0.07,15.55,0.05,13.69,0.63,1.78,0.16,9.05,0.0177,0.13,0.62,0.12,2.02,0.06,16.07,0.82,5.42,26.83,False,False,False,False,-0.02
400,CSAN3,2011.0,3.43,0.23,23.22,0.13,3.68,0.48,1.16,0.16,2.29,0.0181,0.32,0.48,0.25,7.34,0.05,5.2,0.84,1.9,6.29,True,True,True,True,0.58
401,CSAN3,2012.0,0.68,0.04,33.24,0.03,18.76,0.62,1.26,0.14,12.86,0.0149,0.07,0.49,0.1,2.23,0.13,13.51,0.54,6.44,26.99,False,False,False,False,-0.04
402,CSAN3,2013.0,3.55,0.07,33.39,0.02,24.96,1.04,1.19,0.15,9.28,0.0187,0.05,0.56,0.17,1.59,0.03,12.8,0.46,6.12,19.4,False,False,False,False,-0.17
403,CSAN3,2014.0,2.81,0.06,30.67,0.02,18.21,1.44,0.94,0.11,7.9,0.0256,0.05,0.43,0.21,1.58,0.04,18.47,0.86,6.76,21.6,False,False,False,False,-0.1
404,CSAN3,2015.0,3.38,0.08,30.88,0.03,10.58,1.21,0.82,0.12,5.04,0.027000000000000003,0.08,0.34,0.31,2.38,0.08,12.65,0.93,3.95,16.15,True,True,True,True,0.64
405,CSAN3,2016.0,2.56,0.13,26.5,0.05,11.16,2.06,1.44,0.13,5.56,0.0564,0.13,0.57,0.45,3.42,0.11,9.18,0.73,4.56,11.2,True,True,False,False,0.13
406,CSAN3,2017.0,1.51,0.12,25.24,0.05,11.2,2.21,1.64,0.1,5.91,0.0224,0.15,0.59,0.45,3.7,0.18,9.43,0.89,4.89,11.4,False,False,False,False,-0.18
407,CSAN3,2018.0,1.88,0.11,26.78,0.07,7.17,1.33,1.25,0.17,4.96,0.0332,0.17,0.47,0.32,4.67,0.2,10.06,0.82,4.11,12.14,True,True,True,True,1.13
408,CSAN3,2019.0,2.19,0.14,28.06,0.08,11.04,2.02,2.48,0.12,7.62,0.0144,0.22,0.83,0.31,6.3,0.18,8.03,1.04,6.58,9.3,False,False,False,False,-0.11
409,CSMG3,2008.0,1.49,0.06,29.83,0.04,8.09,0.78,0.63,0.11,6.74,0.0128,0.08,0.34,0.2,2.32,0.1,12.85,0.59,3.82,22.68,True,True,True,True,0.89
410,CSMG3,2009.0,1.83,0.1,32.75,0.07,7.39,1.17,1.02,0.11,5.88,0.0412,0.14,0.55,0.28,4.5,0.16,8.96,0.38,4.24,12.44,False,False,False,False,-0.07
411,CSMG3,2010.0,1.6,0.13,36.62,0.09,4.93,1.02,0.78,0.12,3.48,0.0641,0.16,0.45,0.39,5.82,0.21,6.67,0.41,2.6,8.94,True,True,True,True,0.23
412,CSMG3,2011.0,2.44,0.09,39.44,0.06,8.24,1.19,0.85,0.19,5.22,0.0494,0.1,0.46,0.33,4.05,0.14,8.58,0.55,3.65,12.26,True,True,True,True,0.36
413,CSMG3,2012.0,2.24,0.09,41.69,0.05,10.82,1.49,1.05,0.12,6.85,0.0279,0.1,0.58,0.32,4.04,0.14,7.89,0.2,4.58,11.8,False,False,False,False,-0.14
414,CSMG3,2013.0,2.5,0.08,44.59,0.04,10.58,1.19,0.83,0.15,6.12,0.0344,0.08,0.47,0.31,3.52,0.11,8.08,0.44,3.85,12.86,False,False,False,False,-0.31
415,CSMG3,2014.0,2.8,0.06,46.26,0.03,9.45,0.73,0.54,0.18,4.86,0.0449,0.06,0.3,0.27,2.67,0.08,8.63,0.36,2.72,15.42,False,False,False,False,-0.38
416,CSMG3,2015.0,3.48,0.03,47.17,0.0,-168.65,0.48,0.33,0.14,5.89,0.0058,0.0,0.17,0.23,-0.09,0.0,10.95,0.74,2.15,30.05,True,True,True,True,1.5
417,CSMG3,2016.0,2.0,0.08,46.99,0.04,10.61,1.14,0.78,0.15,5.77,0.0118,0.07,0.42,0.35,3.44,0.11,6.62,0.72,3.3,11.57,True,True,True,True,0.26
418,CSMG3,2017.0,1.79,0.09,49.26,0.05,9.79,1.27,0.88,0.19,5.74,0.0482,0.09,0.51,0.35,4.43,0.13,6.03,0.73,3.62,9.57,True,True,True,True,0.54
419,CSMG3,2018.0,2.17,0.09,49.12,0.05,13.45,1.65,1.25,0.17,8.45,0.0655,0.09,0.7,0.31,4.58,0.12,6.5,0.83,5.23,10.49,True,True,False,False,0.14
420,CSMG3,2019.0,1.58,0.11,53.2,0.07,11.38,1.67,1.28,0.12,7.45,0.0132,0.11,0.75,0.34,5.97,0.15,5.26,0.75,4.9,7.99,False,False,False,False,-0.22
421,CSNA3,2001.0,0.0,0.05,71.35,0.02,8.73,0.66,0.51,0.49,3.95,0.9255,0.06,0.19,0.0,4.18,0.08,0.0,0.67,0.0,26.27,True,True,True,True,0.44
422,CSNA3,2002.0,0.0,-0.1,68.24,-0.01,-18.82,0.71,0.75,0.45,-2.51,0.0381,-0.04,0.24,0.0,-2.72,-0.04,0.0,0.94,0.0,-12.75,True,True,True,True,2.67
423,CSNA3,2003.0,0.0,0.1,103.43,0.05,10.88,1.61,1.52,0.27,5.31,0.0712,0.14,0.5,0.0,14.4,0.15,0.0,0.56,0.0,9.82,True,True,True,True,0.41
424,CSNA3,2004.0,0.0,0.16,24.03,0.08,7.09,1.44,2.11,0.21,3.77,0.1993,0.3,0.57,0.0,7.16,0.2,0.0,1.11,0.0,5.44,True,True,True,False,0.16
425,CSNA3,2005.0,0.0,0.16,25.07,0.08,6.47,1.29,2.01,0.17,3.57,0.1634,0.31,0.53,0.0,7.77,0.2,0.0,1.26,0.0,5.67,True,True,True,True,0.45
426,CSNA3,2006.0,0.0,0.11,23.79,0.05,14.2,1.84,2.71,0.11,6.42,0.0434,0.19,0.66,0.0,4.54,0.13,0.0,1.29,0.0,8.21,True,True,True,True,1.56
427,CSNA3,2007.0,0.0,0.14,29.4,0.11,13.83,3.53,5.36,0.21,11.17,0.0367,0.39,1.49,0.0,11.39,0.26,0.0,1.13,0.0,5.69,False,False,False,False,-0.43
428,CSNA3,2008.0,1.48,0.32,8.78,0.18,3.81,1.57,3.3,0.21,2.31,0.0662,0.87,0.7,0.7,7.61,0.41,2.69,1.28,2.24,2.77,True,True,True,True,1.02
429,CSNA3,2009.0,3.28,0.12,7.67,0.09,15.71,3.72,7.3,0.08,11.53,0.0416,0.46,1.4,0.4,3.57,0.24,5.98,1.24,9.33,7.39,False,False,False,False,-0.02
430,CSNA3,2010.0,1.7,0.18,5.36,0.07,15.45,2.69,4.97,0.07,7.79,0.0386,0.32,1.03,0.4,1.73,0.17,3.74,1.08,6.71,4.34,False,False,False,False,-0.41
431,CSNA3,2011.0,1.86,0.19,5.77,0.08,5.95,1.32,2.59,0.1,3.79,0.0848,0.44,0.47,0.41,2.52,0.22,3.62,1.32,3.26,4.22,False,False,False,False,-0.17
432,CSNA3,2012.0,8.39,0.02,6.18,-0.01,-36.02,1.02,1.92,0.08,26.93,0.0868,-0.05,0.35,0.11,-0.33,-0.03,14.7,1.34,9.24,42.88,True,True,True,True,0.31
433,CSNA3,2013.0,4.15,0.08,5.53,0.01,39.11,1.21,2.6,0.1,6.72,0.0431,0.07,0.42,0.25,0.37,0.03,6.92,1.32,4.9,9.48,False,False,False,False,-0.59
434,CSNA3,2014.0,5.17,0.07,4.22,0.0,-68.32,0.47,1.32,0.09,2.69,0.1398,-0.02,0.15,0.25,-0.08,-0.01,8.05,1.02,1.85,11.71,False,False,False,False,-0.24
435,CSNA3,2015.0,4.04,0.13,6.44,0.03,3.36,0.35,0.62,0.05,1.05,0.05,0.19,0.11,0.41,1.19,0.11,5.9,1.69,0.85,7.24,True,True,True,True,1.73
436,CSNA3,2016.0,7.59,0.05,5.32,-0.02,-17.86,0.88,2.04,0.07,7.74,0.0,-0.11,0.34,0.19,-0.61,-0.05,11.21,2.16,4.61,18.83,False,False,False,False,-0.22
437,CSNA3,2017.0,5.72,0.08,5.97,0.0,103.82,0.63,1.4,0.22,3.9,0.0,0.01,0.26,0.24,0.08,0.01,8.38,1.91,2.62,12.46,True,True,False,False,0.12
438,CSNA3,2018.0,3.12,0.17,7.22,0.11,2.36,0.53,1.22,0.2,1.77,0.0,0.52,0.26,0.36,3.75,0.23,4.56,1.53,1.49,5.4,True,True,True,True,0.72
439,CSNA3,2019.0,4.79,0.08,8.19,0.04,8.72,0.77,1.72,0.18,5.53,0.0673,0.2,0.38,0.2,1.62,0.09,7.13,1.06,3.87,10.18,False,False,False,False,-0.4
440,CVCB3,2013.0,0.0,0.16,2.44,0.06,17.41,3.1,6.28,0.0,7.46,0.0,0.36,0.96,0.45,0.88,0.03,6.48,-0.24,6.85,7.06,True,False,False,False,0.01
441,CVCB3,2014.0,0.0,0.17,3.48,0.06,13.86,2.85,4.45,0.0,6.29,0.0142,0.32,0.89,0.49,1.12,0.18,5.33,0.46,5.81,5.78,False,False,False,False,-0.08
442,CVCB3,2015.0,0.0,0.17,4.92,0.06,10.3,2.06,2.74,0.0,4.72,0.0548,0.27,0.64,0.47,1.31,0.21,4.99,0.43,4.36,5.41,True,True,True,True,0.87
443,CVCB3,2016.0,0.37,0.16,5.34,0.06,16.08,2.99,4.44,0.34,7.25,0.0384,0.28,0.96,0.47,1.47,0.2,4.32,0.67,6.36,4.92,True,True,True,True,1.07
444,CVCB3,2017.0,0.48,0.13,5.6,0.05,28.76,5.8,8.66,0.74,14.05,0.0095,0.3,1.44,0.47,1.69,0.19,4.46,0.78,12.25,5.11,True,True,True,True,0.27
445,CVCB3,2018.0,1.03,0.1,7.61,0.04,33.7,5.3,8.04,0.27,16.45,0.0082,0.24,1.45,0.39,1.82,0.2,4.53,1.21,13.6,5.48,False,False,False,False,-0.28
446,CVCB3,2019.0,1.62,0.08,9.34,0.03,28.18,3.29,4.69,0.43,13.42,0.0096,0.17,0.94,0.31,1.55,0.16,4.9,1.59,10.45,6.29,False,False,False,False,-0.72
447,CYRE3,2005.0,0.0,0.09,7.38,0.08,33.05,6.92,4.34,0.27,30.7,0.0,0.13,2.68,0.0,0.97,0.21,0.0,0.77,0.0,42.38,True,True,True,True,0.29
448,CYRE3,2006.0,0.49,0.09,5.78,0.09,26.77,6.48,3.53,0.46,29.14,0.0221,0.13,2.38,0.23,0.76,0.24,25.04,1.1,28.56,25.55,True,True,True,True,0.36
449,CYRE3,2007.0,1.67,0.1,6.38,0.1,19.13,5.04,3.79,0.11,17.93,0.0107,0.2,1.82,0.29,1.27,0.26,14.32,1.1,17.53,14.65,False,False,False,False,-0.62
450,CYRE3,2008.0,5.28,0.06,6.77,0.04,9.86,1.15,1.36,0.1,7.21,0.0043,0.14,0.43,0.14,0.93,0.12,21.16,1.31,8.37,18.24,True,True,True,True,1.69
451,CYRE3,2009.0,2.6,0.1,9.72,0.08,12.05,2.53,2.52,0.15,10.48,0.0078,0.21,0.98,0.25,2.03,0.21,8.77,1.45,10.27,8.95,False,False,False,False,-0.09
452,CYRE3,2010.0,3.2,0.07,11.07,0.06,13.45,1.89,1.97,0.26,12.32,0.0215,0.15,0.77,0.17,1.62,0.14,10.88,1.28,11.43,11.73,False,False,False,False,-0.31
453,CYRE3,2011.0,4.88,0.06,11.99,0.04,10.29,0.99,1.24,0.25,8.34,0.0229,0.12,0.45,0.12,1.44,0.1,13.02,1.36,7.98,13.6,True,True,True,True,0.24
454,CYRE3,2012.0,2.36,0.08,13.09,0.06,9.46,1.26,1.37,0.22,8.0,0.0162,0.14,0.53,0.18,1.89,0.13,8.26,1.37,7.0,9.44,False,False,False,False,-0.19
455,CYRE3,2013.0,2.36,0.08,15.21,0.06,6.47,1.08,0.95,0.22,5.74,0.0347,0.15,0.41,0.21,2.23,0.17,7.9,0.78,5.22,8.67,False,False,False,False,-0.21
456,CYRE3,2014.0,2.48,0.08,16.63,0.06,5.1,0.73,0.67,0.34,4.41,0.0,0.13,0.32,0.18,2.17,0.14,8.4,0.86,4.04,9.18,False,False,False,False,-0.29
457,CYRE3,2015.0,2.09,0.07,17.62,0.05,4.79,0.65,0.43,0.33,4.22,0.0,0.09,0.22,0.17,1.56,0.14,10.3,0.67,3.75,11.59,True,True,True,True,0.42
458,CYRE3,2016.0,5.62,0.02,16.93,0.02,16.69,1.28,0.61,0.33,17.11,0.0273,0.04,0.35,0.11,0.62,0.08,24.08,0.98,12.2,33.77,True,True,True,True,0.31
459,CYRE3,2017.0,18.41,0.0,15.92,0.0,-480.42,1.98,0.83,0.5,310.86,0.0068,0.0,0.51,0.03,-0.03,0.0,104.31,1.26,73.08,443.71,True,True,True,True,0.26
460,CYRE3,2018.0,8.5,0.01,13.85,0.0,883.59,1.97,1.12,0.13,116.7,0.0724,0.0,0.63,0.04,0.02,0.0,63.08,1.14,54.35,135.45,True,True,True,True,1.03
461,CYRE3,2019.0,1.71,0.07,12.95,0.05,22.23,3.02,2.29,0.22,20.12,0.0613,0.1,1.19,0.17,1.34,0.14,11.06,1.09,17.86,12.46,False,False,False,False,-0.5
462,DASA3,2005.0,0.0,0.07,4.96,0.02,212.0,4.42,8.77,0.2,55.52,0.0,0.04,3.93,0.22,0.21,-0.04,171.31,0.29,19.67,483.56,True,False,False,False,0.04
463,DASA3,2006.0,1.29,0.05,8.17,0.02,145.58,3.91,5.59,0.49,55.75,0.0,0.04,2.57,0.2,0.31,0.02,150.04,0.75,19.18,436.12,False,False,False,False,-0.19
464,DASA3,2007.0,2.5,0.04,8.94,0.05,36.52,2.47,4.13,0.19,40.73,0.0003,0.11,1.74,0.21,1.01,0.03,115.51,0.7,11.9,395.43,False,False,False,False,-0.39
465,DASA3,2008.0,2.28,0.04,8.36,-0.01,-117.31,1.13,2.69,0.25,16.33,0.0102,-0.02,0.7,0.22,-0.19,0.07,86.28,0.61,5.26,267.98,True,True,True,True,1.5
466,DASA3,2009.0,4.13,0.09,9.39,0.05,38.04,2.36,6.07,0.19,22.1,0.0072,0.16,2.02,0.18,1.5,-0.01,82.5,0.58,12.94,140.89,True,True,True,True,0.59
467,DASA3,2010.0,2.75,0.19,2.68,0.05,52.61,3.43,8.4,0.22,17.6,0.0058,0.16,2.65,0.26,0.43,0.06,53.57,0.41,13.4,70.35,False,False,False,False,-0.32
468,DASA3,2011.0,1.19,0.1,8.18,0.03,32.98,2.21,1.89,0.5,12.87,0.0065,0.06,1.12,0.23,0.47,0.07,41.92,0.43,9.62,56.08,False,False,False,False,-0.14
469,DASA3,2012.0,1.63,0.06,8.39,0.02,47.1,1.81,1.57,0.28,16.66,0.0023,0.03,0.96,0.18,0.28,0.07,52.83,0.56,10.31,85.38,True,False,False,False,0.09
470,DASA3,2013.0,2.13,0.07,8.72,0.03,34.01,1.82,1.67,0.11,15.6,0.0048,0.05,0.96,0.17,0.43,0.04,48.41,0.64,10.41,72.49,False,False,False,False,-0.2
471,DASA3,2014.0,2.0,0.06,8.92,0.02,40.73,1.28,1.25,0.28,13.9,0.009000000000000001,0.03,0.75,0.16,0.27,0.05,50.06,0.25,8.27,84.11,False,False,False,False,-0.08
472,DASA3,2015.0,1.88,0.04,8.97,0.01,120.77,1.12,1.13,0.35,19.62,0.0059,0.01,0.67,0.12,0.08,0.03,60.61,0.16,9.09,130.8,True,True,True,True,0.74
473,DASA3,2016.0,2.24,0.07,9.2,0.02,57.35,1.81,1.92,0.28,18.35,0.0056,0.03,1.07,0.02,0.31,0.01,294.32,-0.13,77.74,69.49,True,True,True,True,0.6
474,DASA3,2017.0,9.74,0.06,10.64,0.02,63.07,2.52,2.58,0.28,25.45,0.0,0.04,1.37,0.17,0.44,0.03,37.91,0.34,15.22,63.37,False,False,False,False,-0.04
475,DASA3,2018.0,2.13,0.06,10.65,0.03,45.02,2.14,2.54,0.37,24.33,0.0,0.06,1.17,0.15,0.6,0.04,35.7,0.27,13.9,62.48,True,True,True,True,0.88
476,DASA3,2019.0,2.41,0.05,10.36,0.01,138.74,4.16,5.57,0.18,45.67,0.0,0.04,2.06,0.2,0.42,0.05,25.88,0.09,21.28,55.54,True,True,False,False,0.11
477,DIRR3,2009.0,1.35,0.08,5.1,0.08,17.67,4.03,2.25,0.33,17.47,0.0,0.13,1.4,0.24,0.65,0.23,16.19,-0.07,16.66,16.97,True,True,True,False,0.16
478,DIRR3,2010.0,0.68,0.11,6.2,0.1,10.78,2.3,2.18,0.4,11.32,0.0104,0.2,1.07,0.21,1.25,0.21,8.88,0.24,10.9,9.22,False,False,False,False,-0.26
479,DIRR3,2011.0,0.65,0.09,8.04,0.07,8.0,1.36,1.18,0.59,8.13,0.0316,0.15,0.59,0.18,1.19,0.17,7.84,0.65,7.74,8.24,True,True,True,True,0.53
480,DIRR3,2012.0,1.36,0.09,9.23,0.08,9.43,1.59,1.53,0.45,9.64,0.0191,0.16,0.72,0.17,1.5,0.17,7.11,0.63,9.26,7.4,False,False,False,False,-0.13
481,DIRR3,2013.0,1.27,0.09,10.48,0.07,7.77,1.05,1.15,0.35,7.08,0.03,0.15,0.53,0.16,1.54,0.14,6.2,0.59,6.68,6.57,False,False,False,False,-0.27
